id,title,yelpPage,categories,price,rating,mon,tue,wed,thu,fri,sat,sun,addr,phone,reservations,delivery,takeout,creditCard,applePay,goodFor,parking,bikeParking,goodForKids,goodForGroups,attire,ambience,noiseLevel,alcohol,outdoorSeating,wifi,hasTV,waiterService,caters
2422,Will Leather Goods ‘Self Expression’,https://www.yelp.com/ /biz/will-leather-goods-san-francisco,"Leather Goods,Accessories",Ultra High-End,4.0 star rating,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,11:00 am-8:00 pm,12:00 pm-6:00 pm,"568 Hayes StSan Francisco, CA 94102",(415) 690-1188,,,,Yes,,,,Yes,,,,,,,,,,,
2423,Dwell Magazine,https://www.yelp.com/ /biz/dwell-magazine-san-francisco,Newspapers & Magazines,Ultra High-End,4.0 star rating,,,,,,,,"550 Kearny StSan Francisco, CA 94133",(415) 373-5100,,,,Yes,,,,,,,,,,,,,,,
2424,Guitar Center Lessons,https://www.yelp.com/ /biz/guitar-center-lessons-san-francisco,Musical Instruments & Teachers,Ultra High-End,5.0 star rating,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-8:00 pm,11:00 am-7:00 pm,"1645 Van Ness AveSan Francisco, CA 94109",(415) 409-0350,,,,Yes,,,,,,,,,,,,,,,
2425,Serge Sorokko Gallery,https://www.yelp.com/ /biz/serge-sorokko-gallery-san-francisco,Art Galleries,Ultra High-End,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,"55 Geary StSan Francisco, CA 94108",(415) 421-7770,,,,Yes,,,,,Yes,,,,,,,,,,
2426,Clean Plus Cleaners,https://www.yelp.com/ /biz/clean-plus-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,3.0 star rating,8:00 am-6:30 pm,8:00 am-6:30 pm,8:00 am-6:30 pm,8:00 am-6:30 pm,8:00 am-6:30 pm,9:00 am-5:30 pm,Closed,"57 Clement StSan Francisco, CA 94118",(415) 751-3262,,,,Yes,,,Street,,,,,,,,,No,,,
2427,Blinks+Brows - San Francisco,https://www.yelp.com/ /biz/blinks-brows-san-francisco-san-francisco,"Eyelash Service,Eyebrow Services,Permanent Makeup",Ultra High-End,5.0 star rating,Closed,Closed,Closed,Closed,10:00 am-7:00 pm,Closed,Closed,"1901 Van Ness AveSan Francisco, CA 94109",(415) 845-1898,,,,Yes,No,,,Yes,,,,,,,,,,,
2428,Jade Galore,https://www.yelp.com/ /biz/jade-galore-san-francisco,"Jewelry,Watches",Ultra High-End,3.5 star rating,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,12:00 pm-6:00 pm,"3251 20th AveSan Francisco, CA 94132",(415) 702-9388,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2429,"Michael I Kulick, MD",https://www.yelp.com/ /biz/michael-i-kulick-md-san-francisco,"Cosmetic Surgeons,Skin Care",Ultra High-End,3.5 star rating,,,,,,,,"450 Sutter StSan Francisco, CA 94108",(415) 956-2550,,,,Yes,No,,Garage,No,,,,,,,,,,,
2430,Modernism,https://www.yelp.com/ /biz/modernism-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,Closed,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,Closed,"724 Ellis StSan Francisco, CA 94109",(415) 541-0461,,,,Yes,,,,,Yes,,,,,,,,,,
2431,Duxiana,https://www.yelp.com/ /biz/duxiana-san-francisco,Mattresses,Ultra High-End,3.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"1803 Fillmore StSan Francisco, CA 94115",(415) 673-7134,,,,Yes,,,Street,,,,,,,,,,,,
2432,JPegs,https://www.yelp.com/ /biz/jpegs-san-francisco,Do-It-Yourself Food,Ultra High-End,5.0 star rating,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,6:00 pm-10:30 pm,10:00 am-10:30 pm,10:00 am-10:30 pm,"630 Mason StSan Francisco, CA 94108",,,,,No,,,,Yes,,,,,,,,,,,
2433,Equinox Sports Club San Francisco,https://www.yelp.com/ /biz/equinox-sports-club-san-francisco-san-francisco,"Gyms,Sports Clubs,Day Spas",Ultra High-End,3.0 star rating,5:00 am-11:00 pm,5:00 am-11:00 pm,5:00 am-11:00 pm,5:00 am-11:00 pm,5:00 am-11:00 pm,7:00 am-8:00 pm,7:00 am-8:00 pm,"747 Market StSan Francisco, CA 94103",(415) 633-3900,,,,Yes,No,,Garage,Yes,No,,,,,,,,,,
2434,Studio Gallery,https://www.yelp.com/ /biz/studio-gallery-san-francisco-2,Art Galleries,Ultra High-End,5.0 star rating,11:00 am-7:00 pm,Closed,Closed,11:00 am-7:00 pm,11:00 am-7:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,"1641 Pacific AveSan Francisco, CA 94109",(415) 931-3130,,,,Yes,,,,Yes,Yes,,,,,,,,,,
2435,Michael Fine Art and Antique,https://www.yelp.com/ /biz/michael-fine-art-and-antique-san-francisco,"Art Galleries,Antiques",Ultra High-End,4.0 star rating,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,"400 Grant AveSan Francisco, CA 94108",(628) 400-5789,,,,Yes,,,,Yes,No,,,,,,,,,,
2436,Salvatore Ferragamo,https://www.yelp.com/ /biz/salvatore-ferragamo-san-francisco-3,"Shoe Stores,Leather Goods,Women's Clothing",Ultra High-End,3.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-6:00 pm,"236 Post StSan Francisco, CA 94115",(415) 391-6565,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2437,Tory Burch,https://www.yelp.com/ /biz/tory-burch-san-francisco,Fashion,Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"50 Maiden LnSan Francisco, CA 94108",(415) 398-1525,,,,Yes,,,Street,No,,,,,,,,,,,
2438,5 Claude Lane,https://www.yelp.com/ /biz/5-claude-lane-san-francisco,"Art Galleries,Venues & Event Spaces",Ultra High-End,5.0 star rating,Closed,Closed,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,Closed,"5 Claude LnSan Francisco, CA 94108",,,,,Yes,,,"Garage, Street",,Yes,,,,,,,,,,
2439,Mini Facial Lounge,https://www.yelp.com/ /biz/mini-facial-lounge-san-francisco-4,Skin Care,Ultra High-End,5.0 star rating,,,,,,,,"San Francisco, CA 94112",(415) 562-4569,,,,Yes,,,Street,,,,,,,,,,,,
2440,IGN Entertainment,https://www.yelp.com/ /biz/ign-entertainment-san-francisco,Videos & Video Game Rental,Ultra High-End,4.0 star rating,,,,,,,,"625 2nd StSan Francisco, CA 94107",,,,,Yes,Yes,,,Yes,,,,,,,,,,,
2441,MDVII Antiques,https://www.yelp.com/ /biz/mdvii-antiques-san-francisco,"Antiques,Jewelry",Ultra High-End,5.0 star rating,,,,,,,,"1507 1/2 Vallejo StSan Francisco, CA 94109",(415) 931-4213,,,,,,,Street,,,,,,,,,,,,
2442,Suzanne Sizer Photography,https://www.yelp.com/ /biz/suzanne-sizer-photography-san-francisco,"Photographers,Bridal",Ultra High-End,5.0 star rating,,,,,,,,"San Francisco, CA 94109",(415) 518-6537,,,,,,,,,,,,,,,,,,,
2443,Cielo-European Clothing,https://www.yelp.com/ /biz/cielo-european-clothing-san-francisco,"Women's Clothing,Accessories",Ultra High-End,3.5 star rating,,,,,,,,"2225 Fillmore StreetSan Francisco, CA 94115",(415) 776-0641,,,,Yes,,,Street,,,,,,,,,,,,
2444,Japonesque Gallery,https://www.yelp.com/ /biz/japonesque-gallery-san-francisco,Art Galleries,Ultra High-End,5.0 star rating,Closed,10:30 am-5:30 pm,10:30 am-5:30 pm,10:30 am-5:30 pm,10:30 am-5:30 pm,11:00 am-5:00 pm,Closed,"824 Montgomery StSan Francisco, CA 94133",(415) 391-8860,,,,Yes,,,Street,No,Yes,,,,,,,,,,
2445,ZK Gallery,https://www.yelp.com/ /biz/zk-gallery-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,9:00 am-7:00 pm,9:00 am-8:30 pm,9:00 am-8:30 pm,9:00 am-8:30 pm,9:00 am-8:30 pm,9:00 am-8:30 pm,10:00 am-8:30 pm,"213 Jefferson StSan Francisco, CA 94133",(415) 632-1036,,,,Yes,No,,,Yes,Yes,,,,,,,,,,
2446,Whistle,https://www.yelp.com/ /biz/whistle-san-francisco,"Accessories,Home Decor,Gift Shops",Ultra High-End,4.0 star rating,Closed,Closed,Closed,Closed,11:00 am-6:00 pm,11:00 am-5:00 pm,11:00 am-5:00 pm,"1311 16th AveSan Francisco, CA 94122",(415) 379-0199,,,,Yes,,,Street,Yes,,,,,,,,,,,
2447,Ligne Roset,https://www.yelp.com/ /biz/ligne-roset-san-francisco,Furniture Stores,Ultra High-End,3.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-6:00 pm,11:00 am-6:00 pm,"162 King StreetSan Francisco, CA 94107",(415) 777-1030,,,,Yes,,,Street,Yes,,,,,,,,,,,
2448,SF Body Today,https://www.yelp.com/ /biz/sf-body-today-san-francisco,Massage,Ultra High-End,5.0 star rating,,,,,,,,"1528 Union StSan Francisco, CA 94123",(971) 219-2379,,,,No,,,,,,,,,,,,,,,
2449,Louis Vuitton San Francisco Bloomingdale’s,https://www.yelp.com/ /biz/louis-vuitton-san-francisco-bloomingdales-san-francisco,"Leather Goods,Eyewear & Opticians",Ultra High-End,2.5 star rating,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,11:00 am-8:00 pm,,(415) 957-0649,,,,Yes,,,Garage,Yes,,,,,,,,,,,
2450,AT&amp;T,https://www.yelp.com/ /biz/at-and-t-san-francisco-15,Mobile Phones,Ultra High-End,3.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-6:00 pm,"2135 Union StSan Francisco, CA 94123",(415) 346-4044,,,,Yes,,,Street,Yes,,,,,,,,,,,
2451,Tongwong Coffee,https://www.yelp.com/ /biz/tongwong-coffee-san-francisco,Coffee & Tea,Ultra High-End,5.0 star rating,9:00 am-10:00 am3:00 pm-4:00 pm,9:00 am-10:00 am3:00 pm-4:00 pm,9:00 am-10:00 am3:00 pm-4:00 pm,9:00 am-10:00 am3:00 pm-4:00 pm,9:00 am-10:00 am3:00 pm-4:00 pm,Closed,Closed,"110 5th Street 2nd FlSan Francisco, CA 94103",,,,,,,,,,,,,,,,,,,,
2452,Sallumeh Boutique,https://www.yelp.com/ /biz/sallumeh-boutique-san-francisco,"Women's Clothing,Accessories,Leather Goods",Ultra High-End,5.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-5:00 pm,1:00 pm-5:00 pm,"Two Embarcadero CtrSan Francisco, CA 94111",(415) 273-7777,,,,Yes,,,"Garage, Street, Private Lot",Yes,,,,,,,,,,,
2453,"Emily, Organic Colorist and Stylist",https://www.yelp.com/ /biz/emily-organic-colorist-and-stylist-san-francisco,Hair Stylists,Ultra High-End,4.0 star rating,Closed,Closed,Closed,1:00 pm-9:00 pm,1:00 pm-9:00 pm,11:00 am-7:00 pm,Closed,"San Francisco, CA 94117",(415) 633-6605,,,,Yes,No,,Street,Yes,,,,,,,,,,,
2454,Nob Hill Restaurant,https://www.yelp.com/ /biz/nob-hill-restaurant-san-francisco,American (New),Above $61,5.0 star rating,,,,,,,,"999 California StSan Francisco, CA 94108",(415) 392-3434,Yes,No,No,Yes,,,,,Yes,Yes,Dressy,,,Full Bar,No,,,Yes,
2455,CH Carolina Herrera,https://www.yelp.com/ /biz/ch-carolina-herrera-san-francisco,"Women's Clothing,Accessories,Eyewear & Opticians",Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,"45 Grant AveSan Francisco, CA 94108",(415) 986-3000,,,,Yes,,,,,,,,,,,,,,,
2456,Tiffany &amp; Co.,https://www.yelp.com/ /biz/tiffany-and-co-san-francisco,Jewelry,Ultra High-End,3.0 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,11:00 am-6:00 pm,,(415) 536-3960,,,,Yes,No,,Garage,No,,,,,,,,,,,
2457,Specs in The City &amp; Cheaters Too,https://www.yelp.com/ /biz/specs-in-the-city-and-cheaters-too-san-francisco,Eyewear & Opticians,Ultra High-End,3.5 star rating,,,,,,,,"4126 18th StSan Francisco, CA 94114",(415) 252-8262,,,,Yes,,,Street,Yes,,,,,,,,,,,
2458,Pirates Press,https://www.yelp.com/ /biz/pirates-press-san-francisco,"Music & DVDs,Professional Services,Music Venues",Ultra High-End,4.0 star rating,,,,,,,,"1301 17th StSan Francisco, CA 94107",(415) 738-2268,,,,Yes,,,,,No,Yes,,,,,,,,,
2459,Best Collateral,https://www.yelp.com/ /biz/best-collateral-san-francisco-2,Pawn Shops,Ultra High-End,3.5 star rating,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:30 pm,9:00 am-5:00 pm,Closed,"1024 Mission StSan Francisco, CA 94103",(415) 957-9917,,,,Yes,,,Street,,,,,,,,,,,,
2460,Smoke Plus,https://www.yelp.com/ /biz/smoke-plus-san-francisco,Tobacco Shops,Ultra High-End,2.5 star rating,,,,,,,,"4059 18th StSan Francisco, CA 94114",(415) 863-7427,,,,Yes,,,,Yes,,,,,,,,,,,
2461,Franklin Bowles Galleries,https://www.yelp.com/ /biz/franklin-bowles-galleries-san-francisco,Art Galleries,Ultra High-End,4.0 star rating,,,,,,,,"765 Beach StSan Francisco, CA 94109",(415) 441-8008,,,,Yes,,,Street,Yes,No,,,,,,,,,,
2462,Gagosian,https://www.yelp.com/ /biz/gagosian-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,Closed,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,"657 Howard StSan Francisco, CA 94105",(415) 546-3990,,,,Yes,,,,Yes,No,,,,,,,,,,
2463,Gloria’s Cleaners,https://www.yelp.com/ /biz/glorias-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,3.5 star rating,,,,,,,,"2671 Ocean AvenueSan Francisco, CA 94132",(415) 334-0400,,,,Yes,,,Street,,,,,,,,,,,,
2464,"Jesse Maschmeyer Violins, LLC",https://www.yelp.com/ /biz/jesse-maschmeyer-violins-llc-san-francisco-2,"Musical Instruments & Teachers,Musical Instrument Services",Ultra High-End,5.0 star rating,,,,,,,,"512 Van Ness AveSan Francisco, CA 94102",(415) 871-5013,,,,Yes,,,,Yes,,,,,,,,,,,
2465,Altman Siegel,https://www.yelp.com/ /biz/altman-siegel-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,Closed,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-5:00 pm,Closed,"1150 25th StSan Francisco, CA 94107",(415) 576-9300,,,,,,,,,No,,,,,,,,,,
2466,BlueSky Buyers,https://www.yelp.com/ /biz/bluesky-buyers-san-francisco,"Jewelry,Pawn Shops",Ultra High-End,5.0 star rating,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,10:00 am-5:00 pm,Closed,Closed,"868 Brannan StSan Francisco, CA 94103",(415) 861-5288,,,,Yes,,,"Street, Private Lot",Yes,,,,,,,,,,,
2467,Blu,https://www.yelp.com/ /biz/blu-san-francisco,"Women's Clothing,Accessories",Ultra High-End,3.0 star rating,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,10:30 am-6:30 pm,Closed,"3228 Sacramento StSan Francisco, CA 94115",(415) 776-0643,,,,Yes,,,,,,,,,,,,,,,
2468,Scissors &amp; Cloth,https://www.yelp.com/ /biz/scissors-and-cloth-san-francisco,Men's Clothing,Ultra High-End,5.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,10:00 am-8:00 pm,Closed,"860 Geary StSan Francisco, CA 94102",(415) 595-6325,,,,Yes,,,Street,Yes,,,,,,,,,,,
2469,Vic’s Grocery,https://www.yelp.com/ /biz/vics-grocery-san-francisco,Grocery,Ultra High-End,4.0 star rating,,,,,,,,"3300 26th StSan Francisco, CA 94110",(415) 550-0716,,,,Yes,,,,,,,,,,,,,,,
2470,Max Mara,https://www.yelp.com/ /biz/max-mara-san-francisco,Women's Clothing,Ultra High-End,4.0 star rating,,,,,,,,"175 Post StSan Francisco, CA 94108",(415) 981-0900,,,,Yes,,,,,,,,,,,,,,,
2471,Zephyr Ventilation Showroom,https://www.yelp.com/ /biz/zephyr-ventilation-showroom-san-francisco,Kitchen & Bath,Ultra High-End,3.5 star rating,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,10:00 am-5:30 pm,Closed,Closed,"2277 Alameda StSan Francisco, CA 94103",(415) 552-8033,,,,No,,,,No,,,,,,,,,,,
2472,Twenty Four Twelve Fillmore - A Hair Studio,https://www.yelp.com/ /biz/twenty-four-twelve-fillmore-a-hair-studio-san-francisco-2,Hair Salons,Ultra High-End,5.0 star rating,,,,,,,,"2412 Fillmore StSan Francisco, CA 94115",(415) 922-2412,,,,,,,,,,,,,,,,,,,
2473,Christian Dior,https://www.yelp.com/ /biz/christian-dior-san-francisco-4,"Women's Clothing,Leather Goods,Jewelry",Ultra High-End,4.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,11:00 am-6:00 pm,"185 Post St.San Francisco, CA 94108",(415) 398-2204,,,,Yes,Yes,,,Yes,,,,,,,,,,,
2474,Paris Hotel Boutique,https://www.yelp.com/ /biz/paris-hotel-boutique-san-francisco,Antiques,Ultra High-End,5.0 star rating,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,9:00 am-5:00 pm,"San Francisco, CA 94127",(415) 305-7846,,,,Yes,,,,,,,,,,,,,,,
2475,Arkitektura SF,https://www.yelp.com/ /biz/arkitektura-sf-san-francisco,"Furniture Stores,Interior Design,Lighting Fixtures & Equipment",Ultra High-End,3.0 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,,(415) 565-7200,,,,Yes,,,Street,Yes,,,,,,,,,,,
2476,Bulthaup San Francisco,https://www.yelp.com/ /biz/bulthaup-san-francisco-san-francisco,Kitchen & Bath,Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,12:00 pm-5:00 pm,Closed,"290 Townsend StSan Francisco, CA 94107",(415) 908-0182,,,,Yes,,,"Street, Private Lot",,,,,,,,,,,,
2477,La Maison Du Chocolat,https://www.yelp.com/ /biz/la-maison-du-chocolat-san-francisco,Chocolatiers & Shops,Ultra High-End,4.0 star rating,,,,,,,,"150 Stockton StSan Francisco, CA 94102",,,,Yes,Yes,,,,,,,,,,,,,,,
2478,Chestnut Street Cleaners,https://www.yelp.com/ /biz/chestnut-street-cleaners-san-francisco,Dry Cleaning & Laundry,Ultra High-End,3.0 star rating,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-7:00 pm,7:00 am-6:00 pm,Closed,"1327 Chestnut StSan Francisco, CA 94123",(415) 771-2821,,,,Yes,,,,,,,,,,,,No,,,
2479,T-Mobile,https://www.yelp.com/ /biz/t-mobile-san-francisco-17,Mobile Phones,Ultra High-End,4.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,12:00 pm-5:00 pm,"2016 Chestnut StSan Francisco, CA 94123",(415) 447-3271,,,,Yes,,,,No,,,,,,,,,,,
2480,Club Mari-S,https://www.yelp.com/ /biz/club-mari-s-san-francisco,Bars,Ultra High-End,2.0 star rating,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,8:00 pm-2:00 am,"1581 Webster StSan Francisco, CA 94115",(415) 673-5636,No,,,Yes,,,,No,,Yes,,Intimate,Loud,Full Bar,No,,Yes,,
2481,Kinjo,https://www.yelp.com/ /biz/kinjo-san-francisco-2,"Japanese,Sushi Bars",Above $61,4.5 star rating,Closed,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,5:30 pm-10:00 pm,"2206 Polk StSan Francisco, CA 94109",(415) 921-2222,Yes,No,No,Yes,,Dinner,Street,No,No,Yes,Casual,"Trendy, Upscale",Average,Beer & Wine Only,No,No,No,Yes,No
2482,Tourneau,https://www.yelp.com/ /biz/tourneau-san-francisco-4,"Jewelry,Watches,Watch Repair",Ultra High-End,2.5 star rating,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,10:00 am-8:30 pm,11:00 am-7:00 pm,,(415) 974-1846,,,,Yes,No,,Garage,No,,,,,,,,,,,
2483,Chloe Fine Arts,https://www.yelp.com/ /biz/chloe-fine-arts-san-francisco,Art Galleries,Ultra High-End,5.0 star rating,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-6:00 pm,"645 Beach StSan Francisco, CA 94109",(415) 749-1000,,,,Yes,,,,,,,,,,,,,,,
2484,Infinitel Communications,https://www.yelp.com/ /biz/infinitel-communications-san-francisco-10,"Mobile Phones,Mobile Phone Accessories,Mobile Phone Repair",Ultra High-End,4.0 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,11:00 am-6:00 pm,,(415) 504-9688,,,,Yes,,,Street,,,,,,,,,,,,
2485,CK Contemporary,https://www.yelp.com/ /biz/ck-contemporary-san-francisco,Art Galleries,Ultra High-End,4.5 star rating,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-7:00 pm,9:00 am-9:00 pm,9:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-6:00 pm,,(415) 397-0114,,,,Yes,,,,Yes,No,,,,,,,,,,
2486,Curve,https://www.yelp.com/ /biz/curve-san-francisco,"Women's Clothing,Accessories",Ultra High-End,3.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-5:00 pm,"2360 Fillmore StSan Francisco, CA 94115",(415) 885-4200,,,,Yes,,,,,,,,,,,,,,,
2487,Giorgio Armani,https://www.yelp.com/ /biz/giorgio-armani-san-francisco-2,"Women's Clothing,Accessories,Children's Clothing",Ultra High-End,5.0 star rating,,,,,,,,"166 Grant AveSan Francisco, CA 94102",(415) 434-2500,,,,,,,,,,,,,,,,,,,
2488,Sunglass Hut,https://www.yelp.com/ /biz/sunglass-hut-san-francisco-16,"Eyewear & Opticians,Accessories",Ultra High-End,4.5 star rating,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-7:00 pm,10:00 am-8:00 pm,10:00 am-8:00 pm,10:00 am-7:00 pm,"250 Stockton StSan Francisco, CA 94108",(415) 399-1606,,,,Yes,,,,No,,,,,,,,,,,
2489,ScriptSite Pharmacy &amp; Compounding Lab,https://www.yelp.com/ /biz/scriptsite-pharmacy-and-compounding-lab-san-francisco-2,Drugstores,Ultra High-End,3.5 star rating,9:30 am-5:30 pm,9:30 am-5:30 pm,9:30 am-5:30 pm,9:30 am-5:30 pm,9:30 am-5:30 pm,Closed,Closed,"490 Post StSan Francisco, CA 94102",(415) 800-8060,,,,Yes,,,"Garage, Street",,,,,,,,,,,,
2490,TSE,https://www.yelp.com/ /biz/tse-san-francisco,"Women's Clothing,Men's Clothing",Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,Closed,,(415) 391-1112,,,,Yes,,,,,,,,,,,,,,,
2491,Gadgetronics,https://www.yelp.com/ /biz/gadgetronics-san-francisco,Electronics,Ultra High-End,3.0 star rating,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-9:00 pm,10:00 am-10:00 pm,10:00 am-10:00 pm,10:00 am-9:00 pm,"Pier 39San Francisco, CA 94133",(858) 344-9297,,,,Yes,,,,,,,,,,,,,,,
2492,Berggruen Gallery,https://www.yelp.com/ /biz/berggruen-gallery-san-francisco,Art Galleries,Ultra High-End,3.0 star rating,9:30 am-5:30 pm,9:30 am-5:30 pm,9:30 am-5:30 pm,9:30 am-5:30 pm,9:30 am-5:30 pm,10:00 am-5:00 pm,Closed,"10 Hawthorne StSan Francisco, CA 94105",(415) 781-4629,,,,Yes,,,"Garage, Street",No,Yes,,,,,,,,,,
2493,John Windle Antiquarian Bookseller,https://www.yelp.com/ /biz/john-windle-antiquarian-bookseller-san-francisco,"Antiques,Bookstores",Ultra High-End,4.5 star rating,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,10:00 am-6:00 pm,11:00 am-5:00 pm,Closed,"49 Geary StSan Francisco, CA 94108",(415) 986-5826,,,,Yes,,,,,,,,,,,,,,,
2494,Tune Get Jewelry,https://www.yelp.com/ /biz/tune-get-jewelry-san-francisco,Jewelry,Ultra High-End,5.0 star rating,,,,,,,,"1060 Stockton StreetSan Francisco, CA 94108",(415) 397-3889,,,,Yes,,,Street,,,,,,,,,,,,
